IdSale,SaleNumber,IdCompany,CreateDate,TotalSale,IdWarehouse,IdBranchCompany,IdDocument,IdSaleDetails,IdProduct,Quantity,UnitPrice,NameProduct
6187250,236,314,2023-04-22,20000,500,462,8,10825293,365552,1,20000,ABONOS
6188338,237,314,2023-04-22,28000,500,462,8,10827312,368763,1,82000,BUSO CUELLO ALTO CREMALLERA
6188532,238,314,2023-04-22,37800,500,462,8,10827677,368560,1,42000,BLUSA FAJON
6188578,239,314,2023-04-22,32550,500,462,8,10827755,365192,1,35000,CAMISETA DAMA ESTAMPADA
6191606,240,314,2023-04-23,64000,500,462,8,10833126,368760,1,68000,CAMISETA OVERSIZE BURDA TB
6191896,241,314,2023-04-23,75000,500,462,8,10833665,369290,1,80000,PANTALON CARGO MUJER
6191932,242,314,2023-04-23,4000,500,462,8,10833718,365209,1,4000,BOTONES
6192525,243,314,2023-04-23,65000,500,462,8,10834724,368760,1,68000,CAMISETA OVERSIZE BURDA TB
6193244,244,314,2023-04-23,21000,500,462,8,10836032,365203,1,6000,PINES RESINA
6193244,244,314,2023-04-23,21000,500,462,8,10836033,365196,1,15000,PINES METALICOS
6194049,245,314,2023-04-23,120000,500,462,8,10837724,368759,2,62000,CAMISETA OVERSIZE TA BURDA COLORES
6197532,246,314,2023-04-24,229000,500,462,8,10843570,368759,1,62000,CAMISETA OVERSIZE TA BURDA COLORES
6197532,246,314,2023-04-24,229000,500,462,8,10843571,368763,1,82000,BUSO CUELLO ALTO CREMALLERA
6197532,246,314,2023-04-24,229000,500,462,8,10843572,365187,1,85000,JEANS HOMBRE LISO
6197533,247,314,2023-04-24,20000,500,462,8,10843573,365552,1,20000,ABONOS
6198842,248,314,2023-04-24,38000,500,462,8,10846076,367036,1,38000,SOMBRERO
6201854,249,314,2023-04-25,113800,500,462,8,10851008,365200,1,46000,CAMISAS HOMBRE UNICOLOR
6201854,249,314,2023-04-25,113800,500,462,8,10851009,365189,1,75000,"BUSO HOMBRE CAPOTA "
6201867,250,314,2023-04-25,10000,500,462,8,10851035,365552,1,10000,ABONOS
6208123,252,314,2023-04-26,30000,500,462,8,10861943,367036,1,38000,SOMBRERO
6208295,253,314,2023-04-26,78000,500,462,8,10862281,368763,1,82000,BUSO CUELLO ALTO CREMALLERA
6210270,254,314,2023-04-27,75000,500,462,8,10865709,369290,1,80000,PANTALON CARGO MUJER
6210965,255,314,2023-04-27,95000,500,462,8,10866928,368113,1,95000,BOLSO TEM 95
6211228,256,314,2023-04-27,145700,500,462,8,10867401,365755,3,28000,ESQUELETO MODA
