date,IdProduct,IdWarehouse,Actual_Quantity,Predicted_Quantity,Error
2025-02-01,219243,258,1.0,1.39,-0.3899999999999999
2025-02-01,220259,258,1.0,1.88,-0.8799999999999999
2025-02-01,220927,258,8.0,3.84,4.16
2025-02-01,222473,258,1.0,2.43,-1.4300000000000002
2025-02-01,222475,258,1.0,2.2,-1.2000000000000002
2025-02-01,224096,258,1.0,1.33,-0.33000000000000007
2025-02-01,239615,258,3.0,1.42,1.58
2025-02-01,199857,258,1.0,2.61,-1.6099999999999999
2025-02-01,190072,258,1.0,1.03,-0.030000000000000027
2025-02-01,184885,258,4.0,2.43,1.5699999999999998
2025-02-01,184954,258,1.0,2.42,-1.42
2025-02-01,184955,258,1.0,1.14,-0.1399999999999999
2025-02-01,184960,258,1.0,1.07,-0.07000000000000006
2025-02-01,184961,258,3.0,2.6,0.3999999999999999
2025-02-01,184966,258,2.0,3.48,-1.48
2025-02-01,184970,258,3.0,1.82,1.18
2025-02-01,184973,258,1.0,2.2,-1.2000000000000002
2025-02-01,184974,258,1.0,1.24,-0.24
2025-02-01,184976,258,1.0,2.61,-1.6099999999999999
2025-02-01,184947,258,1.0,1.16,-0.15999999999999992
2025-02-01,184984,258,2.0,1.28,0.72
2025-02-01,184998,258,3.0,2.27,0.73
2025-02-01,185005,258,1.0,1.18,-0.17999999999999994
2025-02-01,185008,258,1.0,1.93,-0.9299999999999999
2025-02-01,185020,258,1.0,1.15,-0.1499999999999999
2025-02-01,185022,258,2.0,1.23,0.77
2025-02-01,185024,258,1.0,1.09,-0.09000000000000008
2025-02-01,185033,258,1.0,2.45,-1.4500000000000002
2025-02-01,185035,258,1.0,1.12,-0.1200000000000001
2025-02-01,185040,258,1.0,2.34,-1.3399999999999999
2025-02-01,184985,258,2.0,1.95,0.050000000000000044
2025-02-01,184945,258,3.0,2.39,0.6099999999999999
2025-02-01,184939,258,2.0,1.59,0.4099999999999999
2025-02-01,184935,258,4.0,8.09,-4.09
2025-02-01,190003,258,3.0,1.47,1.53
2025-02-01,184863,258,2.0,2.08,-0.08000000000000007
2025-02-01,184866,258,1.0,1.59,-0.5900000000000001
2025-02-01,184867,258,1.0,1.54,-0.54
2025-02-01,184869,258,1.0,1.84,-0.8400000000000001
2025-02-01,184873,258,1.0,2.53,-1.5299999999999998
2025-02-01,184874,258,1.0,1.38,-0.3799999999999999
2025-02-01,184876,258,1.0,1.26,-0.26
2025-02-01,184877,258,1.0,2.07,-1.0699999999999998
2025-02-01,184882,258,2.0,1.66,0.3400000000000001
2025-02-01,184883,258,8.0,12.13,-4.130000000000001
2025-02-01,184891,258,3.0,4.18,-1.1799999999999997
2025-02-01,184893,258,3.0,1.78,1.22
2025-02-01,184899,258,1.0,2.25,-1.25
2025-02-01,184907,258,2.0,1.41,0.5900000000000001
2025-02-01,184908,258,1.0,1.44,-0.43999999999999995
2025-02-01,184910,258,1.0,2.57,-1.5699999999999998
2025-02-01,184911,258,3.0,2.51,0.4900000000000002
2025-02-01,184912,258,12.0,10.25,1.75
2025-02-01,184922,258,3.0,1.47,1.53
2025-02-01,185049,258,3.0,1.71,1.29
2025-02-01,185061,258,4.0,1.84,2.16
2025-02-01,184934,258,2.0,2.15,-0.1499999999999999
2025-02-01,185065,258,1.0,1.55,-0.55
2025-02-01,187515,258,2.0,3.51,-1.5099999999999998
2025-02-01,187517,258,1.0,1.03,-0.030000000000000027
2025-02-01,187519,258,3.0,3.03,-0.029999999999999805
2025-02-01,187587,258,4.0,1.18,2.8200000000000003
2025-02-01,187588,258,2.0,2.66,-0.6600000000000001
2025-02-01,187590,258,1.0,1.2,-0.19999999999999996
2025-02-01,187595,258,1.0,1.23,-0.22999999999999998
2025-02-01,187788,258,1.0,1.51,-0.51
2025-02-01,187349,258,1.0,1.34,-0.3400000000000001
2025-02-01,188881,258,2.0,4.6,-2.5999999999999996
2025-02-01,188883,258,2.0,2.45,-0.4500000000000002
2025-02-01,189107,258,1.0,1.45,-0.44999999999999996
2025-02-01,189123,258,1.0,1.04,-0.040000000000000036
2025-02-01,189227,258,1.0,1.14,-0.1399999999999999
2025-02-01,189230,258,1.0,2.07,-1.0699999999999998
2025-02-01,189235,258,2.0,1.07,0.9299999999999999
2025-02-01,185062,258,1.0,1.25,-0.25
2025-02-01,188882,258,1.0,1.3,-0.30000000000000004
2025-02-01,187047,258,2.0,1.86,0.1399999999999999
2025-02-01,188007,258,6.0,2.95,3.05
2025-02-01,186184,258,2.0,2.66,-0.6600000000000001
2025-02-01,185069,258,9.0,5.76,3.24
2025-02-01,185079,258,2.0,2.95,-0.9500000000000002
2025-02-01,186229,258,7.0,3.6,3.4
2025-02-01,185080,258,2.0,7.59,-5.59
2025-02-01,185081,258,1.0,2.39,-1.3900000000000001
2025-02-01,185085,258,123.0,88.08,34.92
2025-02-01,185089,258,10.0,12.16,-2.16
2025-02-01,185181,258,1.0,1.16,-0.15999999999999992
2025-02-01,185697,258,1.0,1.32,-0.32000000000000006
2025-02-01,185868,258,6.0,4.59,1.4100000000000001
2025-02-01,185872,258,2.0,2.92,-0.9199999999999999
2025-02-01,185179,258,1.0,2.51,-1.5099999999999998
2025-02-01,185874,258,4.0,1.76,2.24
2025-02-01,185875,258,1.0,2.45,-1.4500000000000002
2025-02-01,185880,258,2.0,1.25,0.75
2025-02-01,185978,258,3.0,2.19,0.81
2025-02-01,185979,258,1.0,2.98,-1.98
2025-02-01,185982,258,3.0,9.04,-6.039999999999999
2025-02-01,185983,258,2.0,3.62,-1.62
2025-02-01,185984,258,5.0,2.78,2.22
2025-02-01,185987,258,1.0,2.41,-1.4100000000000001
2025-02-01,186183,258,1.0,1.79,-0.79
2025-03-01,195883,258,3.0,3.26,-0.2599999999999998
